,NODE_ID,ARS-ID,정류소명,좌표X,좌표Y
8513,119900124,20869,한신아파트,126.9512946671,37.5087551757
2877,107900185,8836,용광교회,126.9947849993,37.5924692408
9253,121000120,22196,사평역,127.0154369499,37.5040485094
6780,115900159,16956,롯데3차APT,126.8464497104,37.5527548821
5493,113000210,14313,서강해모로아파트,126.9296193614,37.545601726
8071,118900168,19740,놀이터,126.9224028835,37.5100350974
57,100000039,1134,세검정.상명대,126.9587714965,37.6006650163
1720,105000486,6027,신설동역,127.025086207,37.5760658645
5697,113900108,14757,염리초등학교,126.9467922654,37.5425779086
1321,103900174,4822,한신아파트후문,127.0372040877,37.5539320626
3444,109000034,10117,도봉보건소,127.0400284374,37.6573820522
2650,107000263,8361,우방아파트,127.0094061718,37.6002355214
3622,109000397,10333,안방학동,127.0329200703,37.6676647358
10412,123000090,24179,석촌고분역.올림픽병원,127.0985286086,37.5024772543
8411,119000199,20659,효사정앞,126.9608468468,37.5115688522
10015,122000246,23350,주공4단지,127.0690636219,37.483602273
3389,108000379,9903,우이3교,127.035664285,37.6362699625
8681,120000041,21142,신림중.삼성고.관악아트홀·도서관,126.9444660929,37.4701768127
4509,111000189,12279,불광역9번출구.불광초등학교,126.9301386903,37.6111355036
8278,119000104,20197,7호선장승배기역.상도2치안센터,126.9391795074,37.5041803507
25,100000367,1044,동묘앞,127.0196389758,37.57430372
10088,122000317,23424,래미안포레아파트,127.1063638731,37.4753345123
6667,115000644,16702,마곡엠밸리7단지.712동,126.8200374325,37.5673840052
5289,113000007,14007,마포경찰서,126.9550740559,37.5502408605
141,100000165,1262,숭인동,127.0203787429,37.5743812645
8596,119900213,20955,동아아파트,126.9401730365,37.4963774646
7089,116900064,17530,대우아파트,126.8560910265,37.5023622647
6028,114000194,15298,국립과학수사연구소입구,126.8364718305,37.5230947583
3526,109000120,10205,초당초등학교,127.0223232051,37.6574774295
